Country,Action Area,2010,2011,2012,2013,2014,2015,2016
Kenya,"Leadership, awareness and commitment",Launched the Alcoholic Drinks Control Act 2010.,NA,NA,NA,NA,Launched an NCD strategy and developed a national strategy for controlling drinking.,Created new legislation to better implement existing alcohol policies.
Kiribati,Community and workplace action,NA,NA,NA,NA,NA,NA,Created alcohol-free communities.
Lao People's Democratic Republic,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"Held advocacy event and workshop for policy makers, students and  public on the harmful use of alcohol."
Lao People's Democratic Republic,Health services' response,NA,NA,NA,NA,NA,NA,Passed law both on national and subnational levels for health and non-health sectors.
Latvia,"Leadership, awareness and commitment",NA,Stūrē skaidrā! [Drive sober!]. Informative campaign against drink-driving (especially for bicycle and moped drivers) was organized.,No vadītāja līdz izvadītājam ir viena glāze. Nebrauc dzēris! “[The grim reaper is just one shot away. Do not drive drunk! ]. An informative campaign against drink-driving was organized.,NA,NA,Revision and publication of a report on the “Alkoholisko dzērienu patēriņa mazināšanas un alkoholisma ierobežošanas rīcības plāns 2012.–2014. gadam” [“Action plan for reduction of consumption of alcoholic beverages and limitation of alcoholism 2012–2014”].,NA
Latvia,"Leadership, awareness and commitment",NA,Stūrē skaidrā! [Drive sober!]. Informative campaign against drink-driving (especially for bicycle and moped drivers) was organized.,No vadītāja līdz izvadītājam ir viena glāze. Nebrauc dzēris! “[The grim reaper is just one shot away. Do not drive drunk! ]. An informative campaign against drink-driving was organized.,NA,NA,An informative campaign (animated film) was carried out to support parents in communicating with adolescents about alcohol.,NA
Latvia,"Leadership, awareness and commitment",NA,Stūrē skaidrā! [Drive sober!]. Informative campaign against drink-driving (especially for bicycle and moped drivers) was organized.,No vadītāja līdz izvadītājam ir viena glāze. Nebrauc dzēris! “[The grim reaper is just one shot away. Do not drive drunk! ]. An informative campaign against drink-driving was organized.,NA,NA,An informative campaign (animated film) was carried out to support parents in communicating with adolescents about alcohol.,NA
Latvia,"Leadership, awareness and commitment",NA,Stūrē skaidrā! [Drive sober!]. Informative campaign against drink-driving (especially for bicycle and moped drivers) was organized.,Aizkulises [Backstage]. An informative campaign against illegal alcohol was organized.,NA,NA,Revision and publication of a report on the “Alkoholisko dzērienu patēriņa mazināšanas un alkoholisma ierobežošanas rīcības plāns 2012.–2014. gadam” [“Action plan for reduction of consumption of alcoholic beverages and limitation of alcoholism 2012–2014”].,NA
Latvia,"Leadership, awareness and commitment",NA,Stūrē skaidrā! [Drive sober!]. Informative campaign against drink-driving (especially for bicycle and moped drivers) was organized.,Aizkulises [Backstage]. An informative campaign against illegal alcohol was organized.,NA,NA,An informative campaign (animated film) was carried out to support parents in communicating with adolescents about alcohol.,NA
Latvia,"Leadership, awareness and commitment",NA,Stūrē skaidrā! [Drive sober!]. Informative campaign against drink-driving (especially for bicycle and moped drivers) was organized.,Aizkulises [Backstage]. An informative campaign against illegal alcohol was organized.,NA,NA,An informative campaign (animated film) was carried out to support parents in communicating with adolescents about alcohol.,NA
Latvia,Drink-driving policies and countermeasures,NA,Stūrē skaidrā! [Drive sober!]. Informative campaign against drink-driving (especially for bicycle and moped drivers) was organized.,No vadītāja līdz izvadītājam ir viena glāze. Nebrauc dzēris! [The grim reaper is just one shot away. Do not drive drunk! ]. An informative campaign against drink-driving was organized.,NA,"Ceļu satiksmes likums [Road traffic law]. Dusmīgs, toties dzīvs [Angry, but alive].",NA,An audio visual campaign was carried out informing about dangers of driving under alcohol intoxication:
Latvia,Monitoring and surveillance,NA,NA,Aizkulises [Backstage]. An informative campaign against illegal alcohol was organized.,NA,NA,NA,NA
Latvia,Pricing policies,NA,NA,NA,NA,NA,Increases in excise duties on alcohol (“Likums par Akcīzes nodokli” [“Law on excise duty”]).,NA
Lebanon,Drink-driving policies and countermeasures,NA,NA,NA,"Made major changes regarding drink-driving laws and regulations. The new law has imposed a blood limit of alcohol concentration and a mandatory penalty for exceeding the legal limit including suspension of the driving license, fine, and/or prison.",NA,NA,NA
Lebanon,Monitoring and surveillance,NA,NA,NA,"Published a major report on alcohol, and made public funding available from 2013 to 2017 for a major alcohol research project or nationwide action project on alcohol harm prevention and reduction.",NA,NA,NA
Lebanon,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"Developed an inter-ministerial substance use response strategy 2016-2021 and action plan, with alcohol among the substances covered."
Lesotho,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,Introduced a draft for an alcohol policy to the public and stakeholders.
Lithuania,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,Launch of an action plan to address alcohol-related problems and the establishment in Parliament of a permanent Commission for the Prevention of Drug and Alcohol Addiction.
Lithuania,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,NA,"Introduction of a zero tolerance (0.00 g/litre BAC level ) for drinking and driving for novice drivers, professional drivers (taxis and other commercial transport drivers) and drivers of mopeds, three- wheeled vehicles, ATVs, motorcycles.  Heavy drink driving is now criminalized."
Lithuania,Availability of alcohol,NA,NA,NA,NA,NA,NA,Adoption of a law which allows municipalities to introduce a ban on the trading and consumption of alcohol at public events in 2004. More than 30% of municipalities have adopted such bans in 2016
Lithuania,Availability of alcohol,NA,NA,NA,NA,NA,NA,Ban on the sale of alcoholic beverages in petrol stations (came in to force on 1 January 2016)
Lithuania,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,NA,"Prohibition to advertise alcoholic beverage price reductions, organization of not only competitions but also games, discount campaigns, or lotteries that could encourage purchase and/or consumption of alcoholic beverages (came in to force on 1 November 2016)"
Lithuania,Pricing policies,NA,NA,NA,NA,NA,NA,Launch of a plan to increase excise duty for four years.
Lithuania,Pricing policies,NA,NA,NA,NA,NA,NA,"Launch of the State Public Health Promotion Foundation, funded by alcohol and tobacco excise taxes (came in to force on 1 January 2016)."
Lithuania,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,NA,NA,Introduction of labelling of alcoholic drinks with graphic warnings about the harm caused to pregnant women by alcohol (came in to force on 1 November 2016
Lithuania,Monitoring and surveillance,NA,NA,NA,NA,NA,NA,"The Department of Statistics changed the methodology for calculating alcohol consumption, which decreased the level because of the evaluation of tourist consumption."
Luxembourg,"Leadership, awareness and commitment",NA,NA,NA,Massive public campaign on risks associated with alcohol use during pregnancy,NA,NA,A written national policy is being developed. It is currently being validated by the Government (Council of Government) and the Minister of Health.
Madagascar,"Leadership, awareness and commitment",Created the Committee to Fight Alcoholism.,NA,NA,NA,NA,NA,NA
Madagascar,Pricing policies,NA,Increased excise duty.,Increased excise duty.,Increased excise duty.,Increased excise duty.,NA,NA
Malawi,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,Finalized and submitted alcohol policy to Cabinet for awaited approval.
Malawi,Availability of alcohol,NA,NA,NA,NA,NA,NA,Government banned the production and selling of alcohol sachets.
Malaysia,"Leadership, awareness and commitment",Created a Healthy Lifestyle Campaign including 'live healthy without alcohol'.,NA,NA,Malaysia's Alcohol Control Action Plan 2013-2020.,Launched Malaysia Alcohol Control Action Plan 2013-2020.,Drafted the amendment of the food regulation in 1985 to regulate Compounded Hard Liquors.,"Created new legislation and a scheme for the better enforcement of existing alcohol legislation as well as the 	publication of a major report on alcohol. Made changes in excise duties of alcohol, together with 	major changes in licensing systemsand age limits to restrict the availability of alcohol. Issued national guidelines on community action, prevention, screening and brief interventions treatment and  training on alcohol use disorders for health professionals. Offered public funding for a nationwide action project on alcohol."
Malaysia,Health services' response,Issued a training module on awareness for alcohol-related harms for healthcare workers.,NA,Issued guidelines for alcohol screening and intervention for primary health care workers.,Integrated alcohol-screening and intervention in the primary healthcare setting.,NA,Issued guidelines on the management of methanol poisoning.,NA
Malaysia,Monitoring and surveillance,NA,Disseminated a population-based survey to determine the national prevalence of alcohol consumption.,Conducted the Global School-Based Health Survey.,NA,NA,Reported on the population-based survey on alcohol use in Malaysia.,NA
Malaysia,Community and workplace action,NA,NA,NA,Issued guidelines for alcohol-screening and intervention for a community-based project.,Initiated a community-based alcohol prevention programme.,NA,NA
Mali,Monitoring and surveillance,NA,NA,NA,NA,NA,NA,Carried out the 'Only the Steps' survey which took into account the question of alcohol.
Malta,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,A draft national policy has been published and is currently being circulated for public consultation.
Marshall Islands,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"A 1994 act prohibits and controls the sale, use, consumption and production or possession of alcoholic beverages and provides statutory authority for municipalities to administer the prohibition and control of alcoholic beverages."
Mauritius,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Finalized a National Action Plan against the harmful use of alcohol.,NA
Mauritius,Health services' response,NA,NA,NA,NA,NA,NA,Introduced training for health professionals on alcohol-use disorders and implemented the ASSIST program in primary health care settings.
Mauritius,Pricing policies,NA,NA,NA,NA,NA,NA,Increased the excise duty on alcohol.
Mexico,Drink-driving policies and countermeasures,Launched a national breathanalyzer programme.,NA,NA,NA,NA,NA,NA
Mexico,Pricing policies,Amended the excise tax law for goods and services to raise the tax rate on alcoholic beverages from 50% to 53%.,NA,NA,NA,NA,NA,NA
Mexico,Reducing the negative consequences of drinking and alcohol intoxication,NA,Updated the programme for alcoholism and abuse of alcoholic beverages 2011-2012.,NA,NA,NA,Made a collaborative agreement for preventing and identifying illegal sales of alcoholic beverages.,NA
Mexico,Monitoring and surveillance,NA,Registered a national addiction survey to evaluate the problematic consumption of alcohol.,NA,NA,NA,Issued a national survey on drug and alcohol use in students.,NA
Mexico,Availability of alcohol,NA,NA,NA,"Amended Article 220 of the General Health Law, which equates serving alcohol to the under-aged population with the crime of corrupting people under 18 years.",NA,NA,"Established for the first time the legal definition of ""Harmful use of alcohol"" and equated the sale and supply of alcohol to minors with the offense of child corruption."
Mexico,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,Introduced policy to include warning images on alcoholic beverage bottles.,NA
Mexico,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"Published the Decree to reform and add different provisions of the general health law on alcoholic beverages, in the Official Gazette of the Federation, which considers the creation of a National Anti-Addiction Council, as well as a Program for the Prevention, Reduction and Treatment of Harmful Use of Alcohol, Attention to Alcoholism and the Prevention of Diseases derived from it, and actions to protect the health of third parties and society from the harmful use of alcohol."
Mongolia,Monitoring and surveillance,NA,NA,NA,International alcohol study.,NA,NA,NA
Mongolia,Drink-driving policies and countermeasures,NA,NA,NA,NA,Government approved a new traffic law on 1st September 2015.,NA,NA
Mongolia,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Conducted the national ""No Alcohol in Mongolia"" conference on 11th November 2015.",NA
Mongolia,Health services' response,NA,NA,NA,NA,NA,"Introduced ASSIST training for family doctors, social workers and policemen in 8 districts in Ulaanbaatar city.","Commenced editing the law on alcohol abuse, the law on the forced treatment of alcoholism, and the law on recovery centers."
Montenegro,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Draft law on strong alcoholic beverages.,Law on wine.
Morocco,"Leadership, awareness and commitment",Developed a strategic guidance document for a national alcohol policy and its actions with the support of WHO. Integrated measures and actions to prevent the consumption of alcohol and its risks in the national strategic plan for cancer control.,NA,NA,NA,NA,NA,"Planned a the national strategy to combat addictions in the 4th quarter of 2016, with the support of the Global Fund."
Morocco,Drink-driving policies and countermeasures,Reinforced the annual and occasional media campaigns carried out by the Ministry of Transport relating to road accidents.,NA,NA,NA,NA,NA,NA
Morocco,Health services' response,NA,Approved agreements with the Mohammed V Foundation for Solidarity to foster the establishment of institutions of addictology in problematic sites.,NA,NA,NA,NA,NA
Morocco,Monitoring and surveillance,NA,NA,NA,Created the National Observatory of Drugs and Addictions.,Published the annual report of the National Observatory of Drugs and Addictions with dissemination of the updated data.,NA,"Commenced standardization of the current national information system. In particular, the national addictions programme is currently working on the standardization and computerization of materials relating to the management of addictions in specialized structures, as well as management protocols (an ongoing project , with the support of the Global Fund and the Catalan Agency of Public Health)."
Morocco,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,NA,Applied the judicial authority for the enactment of the provisions of the 1974 Dahir (decree) relating to the prevention of drug-trafficking.,NA
Mozambique,Availability of alcohol,NA,NA,NA,NA,"Approved the Regulation on Control of the Production, Marketing and Consumption of Alcoholic Beverages.",NA,NA
Mozambique,Marketing of alcoholic beverages,NA,NA,NA,NA,"Approved of the Regulation on Control of the Production, Marketing and Consumption of Alcoholic Beverages.",NA,NA
Mozambique,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,Action plan against alcohol drafted by the Department of Mental Health.
Myanmar,"Leadership, awareness and commitment",NA,NA,NA,"According to the new foreign investment law, foreign investment is permitted in liquor production, distilling, bottling businesses but must be done on a joint venture basis with a local partner.",Conducted a national seminar on the development of policies and strategies for reducing harmful use of alcohol.,NA,Plan by the Ministry of Health and Sports to conduct workshops for alcohol policy development in 2016 .
Netherlands,"Leadership, awareness and commitment",NA,NA,NA,"NIX18 – niet roken niet drinken [NIX 18 – no smoking, no drinking]. Start of mass media campaign to strengthen the social norm not to drink (or smoke) before the age of 18.",NA,"The Health Council of the Netherlands published their guidelines on healthy nutrition, including a new guideline on alcohol consumption.",NA
New Zealand,Monitoring and surveillance,"Report issued by the Law Commission entitled 'Alcohol in our lives: Curbing the harm ""A report of the review of the regulatory framework for the sale and supply of liquor""'. Released the findings of the 2007/08 New Zealand Alcohol and Drug Use Survey.",NA,NA,Released 2011/12 alcohol use and hazardous alcohol use data.,Released the Evaluation of Alcohol and Other Drug Treatment Courts.,NA,NA
New Zealand,"Leadership, awareness and commitment",NA,Health Promotion Agency established (a new Crown entity with functions that include alcohol).,NA,"The Health Select Committee presented to Parliament their report into improving child health outcomes and preventing child abuse. The report contains over 130 recommendations, including some relating to alcohol advertising and sponsorship, and Fetal Alcohol Spectrum Disorder.","Gave recommendations on Alcohol Advertising and Sponsorship. The Government released its response to the Health Select Committee report into child health, including its response to the Committee's recommendations regarding alcohol. The Government announced it would produce an action plan to address Fetal Alcohol Spectrum Disorder.","Launched the National Drug Policy 2015-2020, which sets government policy for alcohol and other drugs (AOD).",Lauched a Fetal Alcohol Spectrum Disorder (FASD) Action Plan in August 2016.
New Zealand,Drink-driving policies and countermeasures,NA,Reduced the drink driving legal alcohol limits for drivers aged under 20 to zero.,NA,NA,"Drink driving laws were amended, to lower the drink driving legal alcohol limits for drivers aged 20 years and over. The breath alcohol concentration was lowered from 400mcg alcohol per litre of breath, to 250mcg; the blood alcohol concentration was lowered from 80mg per litre of blood, to 50mg.",NA,NA
New Zealand,Marketing of alcoholic beverages,NA,"Australia New Zealand Forum on Food Regulation agreed that warning labels about the risks of consuming alcohol while pregnant should be pursued, but that the industry be given the opportunity to introduce appropriate labelling on a voluntary basis.",NA,NA,NA,NA,NA
New Zealand,Reducing the negative consequences of drinking and alcohol intoxication,NA,"Investment package of NZ$10million per year announced by the Government to reduce harm from alcohol and drug abuse. The funding is designed to assist thousands of people with alcohol and drug-related issues, and is funded from alcohol excise revenue.",Launched the first Alcohol and Other Drug Treatment Court pilot programme. The pilot is designed to supervise offenders whose offending is driven by their alcohol or other drug dependency. The Court focuses on treating a defendant's dependency to prevent them from committing further crime.,NA,"Announced funding of $1,811,000 to double existing support for mothers of young children, and pregnant women who have alcohol and drug issues. Funding is allocated under the Criminal Proceeds (Recovery) Act 2009.",NA,NA
New Zealand,Availability of alcohol,NA,NA,NA,Introduced the Sale and Supply of Alcohol Act 2012 - new legislation to regulate the sale and supply of alcohol and reduce alcohol-related harm.,NA,NA,NA
Nicaragua,Reducing the negative consequences of drinking and alcohol intoxication,"Passed law for the prevention, investigation and persecution of organized crime and administration of seized, confiscated and abandoned goods, Law No. 735.",NA,NA,NA,NA,NA,NA
Nicaragua,"Leadership, awareness and commitment",NA,NA,NA,NA,Created a citizen and human security strategy.,NA,NA
Nicaragua,Drink-driving policies and countermeasures,NA,NA,NA,NA,"Passed Law No. 431 ""Law to regulate driving and related infractions,"" with amendments.",NA,NA
Norway,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Escalation plan for alcohol and drug related services (2016–2020), Proposition 15.S (2015–2020)",NA
Norway,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Publication of “Mestring og muligheter. Folkehelsemeldingen St. medl 19 (2014–15)   27/6 2015” (“Mastering and possibilities. Report no. 19 to the Parliament 2014–15 on public health”). This white paper covers the public health field at local, regional and national levels and most sectors of society",NA
Oman,"Leadership, awareness and commitment",Mass media campaigns.,Mass media campaigns.,NA,Mass Media Campaigns.,NA,Created the National Strategy Against Alcohol and Psychoactive Substances 2016-2020.,NA
Oman,Health services' response,NA,NA,Organized training workshops for doctors and nurses on management of harmful use alcohol and  psychoactive substances.,Created 50 beds in the addiction department of the Al Massarah Hospital.,NA,NA,NA
Oman,Drink-driving policies and countermeasures,NA,NA,NA,NA,Updated laws regarding road and traffic.,NA,NA
Oman,Monitoring and surveillance,NA,NA,NA,NA,NA,NA,Improved the surveillance system for alcohol and other psychoactive substances.
Panama,Monitoring and surveillance,Completed an interdisciplinary study on alcohol and related injuries.,NA,NA,NA,NA,NA,NA
Panama,Pricing policies,NA,NA,NA,Law 15 established a new excise tax on alcoholic beverages.,"Passed Law No. 126, to calculate the alcoholic beverage tax. Approved by the National Assembly in the third debate and in agreement with the alcohol industry and finally with the technical endorsement of the Ministry of Economy and Finances. This tax will produce the collection of approximately 80 million balboas a year, and establishes that 20% will be destined for the Program for Disability, Old Age and Health (IVM) of the Social Security Administration.",NA,NA
Panama,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Organized intersectoral meetings to tackle the issue of alcoholism.,NA
Panama,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,NA,"There was increased awareness among members of the study group to increase sanctions for people who drive under the influence of alcohol, including proposed rehabilitation programmes. It is currently in the hands of the authorities to elaborate the decree."
Peru,"Leadership, awareness and commitment",NA,NA,NA,NA,Created Budgetary Program 131 for control and prevention in the area of mental health.,NA,NA
Peru,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,NA,NA,"Supreme Decree approved amendments to the regulation of Law No. 29632: Law to Eradicate Elaboration and Comercialization of Informal or Adulterated Alcoholic Beverages, or those Not Suitable for Human Consumption."
Philippines,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"Drafted 2017-2025 strategic plan on Lifestyle Related Diseases addressing the risk factors incluing alcohol  Commission on Higher Education, Department of Labor and Employment and Civil Service Commission issued guidelines on restricting alcohol use in schools, workplace and communities. 	Approval of the Administrative Order # 0039-2016 dated Oct 28, 2016 of the Revised Operational Framework for a Comprehensive National Mental Health Program where alcohol is include Included advocacy on alcohol and rehabilitation of alcohol disorder by the Dangerous Drug Board. Developed a draft of guidelines on the Prevention and Control of Harmful Use of Alcohol."
Philippines,Availability of alcohol,NA,NA,NA,NA,NA,NA,Presence of ordinances related to selling and serving alcohol in selected local government units.
Philippines,Pricing policies,NA,NA,NA,NA,NA,NA,Increased the excise tax of alcohol as described in the Presidential Decree 10351.
Philippines,Monitoring and surveillance,NA,NA,NA,NA,NA,NA,Released 2013 Food and Nutrition Research Institute results on NCDs.
Poland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Public funding for major alcohol research project or nationwide action project on alcohol harm prevention and reduction.,NA
Portugal,Monitoring and surveillance,NA,"Estudo sobre o Consumo de Álcool, Tabaco e Drogas (ECATD). Alunos de cada grupo etário dos 13 aos 18 anos [Study on Alcohol, Tobacco and Drugs. Students from each age group from 13 to 18 years], carried out in representative samples, at national level, for each age group. The core questions of the ESPAD questionnaire are used, among others. Data from students aged 16 years are included in the ESPAD. The survey provides epidemiological characterization of alcohol, tobacco and drug use.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.",Research study on uses of psychoactive substances and lifestyles of Lisbon University students,"Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,Monitoring and surveillance,NA,"Estudo sobre o Consumo de Álcool, Tabaco e Drogas (ECATD). Alunos de cada grupo etário dos 13 aos 18 anos [Study on Alcohol, Tobacco and Drugs. Students from each age group from 13 to 18 years], carried out in representative samples, at national level, for each age group. The core questions of the ESPAD questionnaire are used, among others. Data from students aged 16 years are included in the ESPAD. The survey provides epidemiological characterization of alcohol, tobacco and drug use.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.",Research study on alcohol use in pregnancy. The aims were to describe patterns of alcohol use in a sample of pregnant woman who attended primary healthcare facilities in Lisbon and to identify risk/protective factors related to patterns of alcohol use.,"Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,Monitoring and surveillance,NA,"Estudo sobre o Consumo de Álcool, Tabaco e Drogas (ECATD). Alunos de cada grupo etário dos 13 aos 18 anos [Study on Alcohol, Tobacco and Drugs. Students from each age group from 13 to 18 years], carried out in representative samples, at national level, for each age group. The core questions of the ESPAD questionnaire are used, among others. Data from students aged 16 years are included in the ESPAD. The survey provides epidemiological characterization of alcohol, tobacco and drug use.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.","Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2014” [“Annual Report on the Situation of the Country Concerning Alcohol, 2014”].","Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,Monitoring and surveillance,NA,"Estudo sobre o Consumo de Álcool, Tabaco e Drogas (ECATD). Alunos de cada grupo etário dos 13 aos 18 anos [Study on Alcohol, Tobacco and Drugs. Students from each age group from 13 to 18 years], carried out in representative samples, at national level, for each age group. The core questions of the ESPAD questionnaire are used, among others. Data from students aged 16 years are included in the ESPAD. The survey provides epidemiological characterization of alcohol, tobacco and drug use.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.",National survey on addictive behaviours in prison settings,"Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,Monitoring and surveillance,NA,"Estudo sobre o Consumo de Álcool, Tabaco e Drogas (ECATD). Alunos de cada grupo etário dos 13 aos 18 anos [Study on Alcohol, Tobacco and Drugs. Students from each age group from 13 to 18 years], carried out in representative samples, at national level, for each age group. The core questions of the ESPAD questionnaire are used, among others. Data from students aged 16 years are included in the ESPAD. The survey provides epidemiological characterization of alcohol, tobacco and drug use.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.","Estudo sobre o Consumo de Álcool, Tabaco e Drogas (ECATD), 2015. Alunos de cada grupo etário dos 13 aos 18 anos [Study on Alcohol, Tobacco and Drugs, 2015. Students from each age group from 13 to 18 years], carried out in representative samples, at national level, of each age group. The core questions of the ESPAD questionnaire are used, among others. Data from students aged 16 years are included in the ESPAD. The survey provides epidemiological characterization of alcohol, tobacco and drug use.","Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
Portugal,Monitoring and surveillance,NA,"Driving Under Influence of Alcohol, Drugs and Medicines; Projet DRUID. Epidemiological study on the prevalence of alcohol, drugs and medicines in general drivers and drivers injured or killed in road accdents, part of a European project.","Inquérito Nacional em Meio Escolar. Consumo de drogas e outras substâncias psicoactivas ‒ uma abordagem integrada [National School Survey. Drugs and other psychoactive substance use – an integrated approach]. The 2006 and 2011 surveys include two studies, one on students from the third level of basic school (grades 7‒9) and the other from secondary school (grades 10‒12) with national and regional representative samples. The topics covered are related to the epidemiological characterization of alcohol, tobacco and drug use, as well as individual, family, school and community risk factors.",NA,"Inquérito Nacional ao Consumo de Substâncias Psicoactivas na População Geral ‒ Portugal [National Health Inquiry on the Use of Psychoactive Substances – Portugal], 3rd general population survey; includes data on alcohol consumption and defines the assessment of training programmes.",Research study on uses of psychoactive substances and lifestyles of Lisbon University students,"Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
